Id,Sex,Age,Height,Weight,Sport
1,1,26,171,71,0
2,1,22,171,71,0
3,1,22,171,71,0
4,1,30,171,71,0
5,1,30,171,71,0
6,1,34,171,71,0
7,1,21,194,78,0
8,1,21,194,78,0
9,1,21,194,78,0
10,1,25,194,78,0
11,1,25,194,78,0
12,1,23,178,76,0
13,1,23,178,76,0
14,1,22,171,71,0
15,1,22,171,71,0
16,1,26,170,70,0
17,1,18,182,76,0
18,1,21,171,71,0
19,1,21,171,71,0
20,1,25,171,71,0
21,1,17,171,71,0
22,0,21,173,59,0
23,0,21,173,59,0
24,0,21,173,59,0
25,1,19,175,55,0
26,0,14,171,71,0
27,1,21,171,71,0
28,1,21,171,71,0
29,1,24,181,73,0
30,1,24,181,73,0
31,1,24,181,73,0
32,1,24,181,73,0
33,1,24,181,73,0
34,1,20,184,79,0
35,1,21,176,66,0
36,1,21,176,66,0
37,1,21,176,66,0
38,1,21,176,66,0
39,1,21,176,66,0
40,1,21,176,66,0
41,1,21,188,77,0
42,1,21,188,77,0
43,1,21,188,77,0
44,1,25,188,77,0
45,1,16,177,71,0
46,0,17,190,73,0
47,0,17,171,71,0
48,0,17,171,71,0
49,1,20,180,74,0
50,1,22,190,78,0
51,1,22,190,78,0
52,1,22,190,78,0
53,1,22,190,78,0
54,1,30,197,92,0
55,1,30,197,92,0
56,1,17,175,64,0
57,1,17,175,64,0
58,1,21,175,64,0
59,1,21,175,64,0
60,1,21,175,64,0
61,0,21,172,63,0
62,0,21,172,63,0
63,1,19,187,81,0
64,1,22,171,71,0
65,1,22,171,71,0
66,1,22,171,71,0
67,1,15,177,64,0
68,1,15,177,64,0
69,1,19,177,64,0
70,1,19,177,64,0
71,1,19,177,64,0
72,1,21,180,70,0
73,1,16,178,69,0
74,1,19,178,69,0
75,1,14,181,77,0
76,1,18,182,68,0
77,1,18,182,68,0
78,1,20,180,73,0
79,1,20,180,73,0
80,1,20,171,71,0
81,1,20,171,71,0
82,1,20,171,71,0
83,0,16,171,71,0
84,0,16,171,71,0
85,1,18,192,89,0
86,1,22,192,89,0
87,1,21,171,71,0
88,1,20,162,60,0
89,1,22,190,80,0
90,1,15,171,71,0
91,1,15,171,71,0
92,1,15,171,71,0
93,1,20,187,87,0
94,1,20,187,87,0
95,1,20,187,87,0
96,1,18,171,71,0
97,1,18,171,71,0
98,0,14,172,72,0
99,0,16,165,54,0
100,0,16,165,54,0
101,0,20,173,65,0
102,0,24,173,65,0
103,1,36,171,71,0
104,1,36,171,71,0
105,1,36,171,71,0
106,1,36,171,71,0
107,1,36,171,71,0
108,0,20,178,72,0
109,1,28,179,70,0
110,1,28,179,70,0
111,0,17,163,52,0
112,0,17,163,52,0
113,0,17,163,52,0
114,0,17,163,52,0
115,0,22,163,52,0
116,0,22,163,52,0
117,1,21,171,71,0
118,1,25,171,71,0
119,1,25,171,71,0
120,1,25,171,71,0
121,0,23,173,61,0
122,0,16,171,71,0
123,0,16,171,71,0
124,0,19,179,70,0
125,0,19,179,70,0
126,0,23,179,70,0
127,0,23,179,70,0
128,0,21,165,53,0
129,1,23,180,64,0
130,1,19,198,100,0
131,1,23,198,100,0
132,1,23,198,100,0
133,1,23,198,100,0
134,1,27,198,100,0
135,1,27,198,100,0
136,1,27,198,100,0
137,1,27,198,100,0
138,1,20,190,82,0
139,1,20,190,82,0
140,1,24,190,82,0
141,1,24,190,82,0
142,1,19,191,86,0
143,1,19,191,86,0
144,1,23,191,86,0
145,1,23,191,86,0
146,0,17,162,60,0
147,1,28,175,75,0
148,1,21,190,86,0
149,1,25,190,86,0
150,1,29,190,86,0
151,0,16,160,50,0
152,0,25,170,55,0
153,1,18,194,78,0
154,1,18,194,78,0
155,1,17,187,78,0
156,1,17,187,78,0
157,1,21,187,78,0
158,1,18,168,65,0
159,1,20,202,90,0
160,1,20,202,90,0
161,1,20,202,90,0
162,1,20,202,90,0
163,1,20,202,90,0
164,1,24,202,90,0
165,1,17,171,71,0
166,1,17,171,71,0
167,1,21,171,71,0
168,1,21,171,71,0
169,1,21,171,71,0
170,1,17,171,71,0
171,1,19,178,72,0
172,1,19,178,72,0
173,1,19,178,72,0
174,1,19,178,72,0
175,1,23,178,72,0
176,1,23,178,72,0
177,1,23,178,72,0
178,1,16,179,71,0
179,1,18,161,70,0
180,0,18,163,54,0
181,0,18,163,54,0
182,0,19,161,53,0
183,0,17,166,56,0
184,0,17,166,56,0
185,0,23,171,71,0
186,0,23,171,71,0
187,0,22,172,52,0
188,0,22,172,52,0
189,0,22,172,52,0
190,1,23,170,61,0
191,1,34,178,79,0
192,0,14,168,54,0
193,0,14,168,54,0
194,0,18,166,59,0
195,0,18,166,59,0
196,0,20,167,55,0
197,0,24,167,55,0
198,0,27,180,67,0
199,0,27,180,67,0
200,0,27,180,67,0
201,0,27,180,67,0
202,1,21,184,68,0
203,1,21,184,68,0
204,1,19,171,71,0
205,1,21,190,82,0
206,1,21,190,82,0
207,1,21,190,82,0
208,0,14,158,53,0
209,0,18,158,53,0
210,0,22,158,53,0
211,1,19,188,80,0
212,1,19,188,80,0
213,0,18,182,65,0
214,0,18,182,65,0
215,0,18,182,65,0
216,0,18,182,65,0
217,0,17,174,62,0
218,0,17,174,62,0
219,0,17,174,62,0
220,0,17,174,62,0
221,0,19,171,71,0
222,1,21,175,61,0
223,1,21,175,61,0
224,1,21,175,61,0
225,1,18,175,65,0
226,1,21,171,71,0
227,1,21,171,71,0
228,1,21,171,71,0
229,1,20,179,68,0
230,0,22,170,57,0
231,1,15,173,65,0
232,0,18,162,53,0
233,1,24,171,71,0
234,0,14,168,64,0
235,0,18,168,64,0
236,1,17,171,71,0
237,1,19,171,71,0
238,1,19,171,71,0
239,0,16,170,72,0
240,1,30,171,71,0
241,1,21,178,72,0
242,1,16,180,60,0
243,1,21,171,71,0
244,1,21,171,71,0
245,1,23,178,71,0
246,1,26,178,71,0
247,1,18,182,72,0
248,1,17,190,86,0
249,1,21,170,70,0
250,1,24,170,70,0
251,1,14,170,63,0
252,1,18,171,71,0
253,1,16,180,72,0
254,0,17,167,60,0
255,1,21,180,67,0
256,1,19,171,71,0
257,0,18,158,40,0
258,1,20,171,71,0
259,1,18,173,73,0
260,1,18,173,73,0
261,1,18,173,73,0
262,1,22,173,73,0
263,1,22,173,73,0
264,1,22,173,73,0
265,1,26,173,73,0
266,1,26,173,73,0
267,1,30,173,73,0
268,1,16,179,60,0
269,1,16,179,60,0
270,1,16,179,60,0
271,1,20,179,60,0
272,1,20,179,60,0
273,1,20,179,60,0
274,1,20,179,60,0
275,1,20,179,60,0
276,1,20,175,62,0
277,1,20,171,71,0
278,1,20,171,71,0
279,1,20,171,71,0
280,1,20,171,71,0
281,1,21,177,71,0
282,1,21,177,71,0
283,1,19,171,71,0
284,1,16,172,71,0
285,1,18,174,55,0
286,1,18,174,55,0
287,1,18,174,55,0
288,1,18,174,55,0
289,1,18,177,70,0
290,1,18,177,70,0
291,1,22,177,70,0
292,1,22,177,70,0
293,1,22,177,70,0
294,1,16,175,72,0
295,1,19,185,80,0
296,1,19,185,80,0
297,0,23,171,71,0
298,0,23,171,71,0
299,1,24,187,76,0
300,0,23,171,71,0
301,1,21,171,71,0
302,1,21,171,71,0
303,1,22,188,74,0
304,1,22,188,74,0
305,1,19,181,84,0
306,1,19,181,84,0
307,1,19,193,80,0
308,1,19,193,80,0
309,0,17,170,59,0
310,0,17,170,59,0
311,0,15,177,65,0
312,0,15,177,65,0
313,0,19,177,65,0
314,0,19,177,65,0
315,0,19,177,65,0
316,1,19,185,75,0
317,1,19,193,88,0
318,1,19,193,88,0
319,1,19,193,88,0
320,1,23,193,88,0
321,1,23,193,88,0
322,1,23,193,88,0
323,1,19,194,91,0
324,1,19,194,91,0
325,1,18,183,80,0
326,1,26,183,80,0
327,1,26,183,80,0
328,1,26,183,80,0
329,1,21,174,69.5,0
330,1,25,174,69.5,0
331,0,20,175,61,0
332,0,20,175,61,0
333,1,19,171,71,0
334,0,17,162,52,0
335,0,17,162,52,0
336,1,18,171,71,0
337,1,20,185,80,0
338,1,17,171,71,0
339,1,17,171,71,0
340,1,17,171,71,0
341,0,15,171,71,0
342,0,15,171,71,0
343,1,30,171,71,0
344,1,21,171,71,0
345,1,17,175,72,0
346,1,17,175,72,0
347,1,20,184,82,0
348,1,20,184,82,0
349,0,19,179,68,0
350,0,23,179,68,0
351,0,23,179,68,0
352,0,23,179,68,0
353,0,27,179,68,0
354,0,27,179,68,0
355,0,19,180,60,0
356,0,23,180,60,0
357,0,14,175,60,0
358,0,15,162,50,0
359,0,15,162,50,0
360,0,15,162,50,0
361,0,15,162,50,0
362,1,23,185,74,0
363,1,23,185,74,0
364,0,20,170,65,0
365,1,17,180,84,0
366,1,17,180,84,0
367,1,21,180,84,0
368,1,21,180,84,0
369,1,21,182,77,0
370,0,15,163,59,0
371,1,17,182,73,0
372,1,17,182,73,0
373,1,17,182,73,0
374,1,17,182,73,0
375,1,21,182,73,0
376,1,21,182,73,0
377,1,25,182,73,0
378,1,25,182,73,0
379,1,25,182,73,0
380,1,19,186,73,0
381,1,19,186,73,0
382,1,20,182,79,0
383,1,23,182,79,0
384,1,19,177,75,0
385,1,19,177,75,0
386,1,19,177,75,0
387,1,23,177,75,0
388,1,23,177,75,0
389,1,23,177,75,0
390,1,27,177,75,0
391,1,27,177,75,0
392,1,27,177,75,0
393,1,31,177,75,0
394,1,19,176,71,0
395,1,18,180,80,0
396,1,18,180,80,0
397,1,25,171,71,0
398,1,25,171,71,0
399,0,18,180,64,0
400,0,18,180,64,0
401,0,23,180,64,0
402,0,23,180,64,0
403,0,23,180,64,0
404,0,26,180,64,0
405,0,26,180,64,0
406,0,30,180,64,0
407,0,30,180,64,0
408,0,34,180,64,0
409,0,38,180,64,0
410,1,22,178,76,0
411,1,18,170,65,0
412,1,22,170,65,0
413,1,23,180,84,0
414,1,23,180,84,0
415,1,15,174,64,0
416,1,15,174,64,0
417,1,15,174,64,0
418,1,21,171,71,0
419,1,19,171,71,0
420,1,19,171,71,0
421,1,19,171,71,0
422,1,19,184,80,0
423,1,19,184,80,0
424,0,20,171,71,0
425,0,20,171,71,0
426,0,18,171,71,0
427,0,18,171,71,0
428,0,18,171,71,0
429,0,18,171,71,0
430,0,18,171,71,0
431,1,16,171,71,0
432,1,16,185,76,0
433,1,16,185,76,0
434,1,20,185,76,0
435,1,20,185,76,0
436,1,24,185,76,0
